plotID,priority,Latitude,Longitude,elevation,slope,exposition,LNF_Code,Nutzungsid,LU1980,LU2000,LU2020,mgroup,P.Test.CO2.
0026,MP3,46.62957248238495,8.015020043069676,1080,25,180,613,219267,Fettwiese,NA,TRUE,FWi,8.7
80/124,MP3,46.636081922489474,8.008559481159649,1160,60,S,611,626249,Fettwiese,NA,TRUE,FWi,7.1
Gr057,MP2,46.63304498124454,8.004217980191711,985,30,SW,613,211978,Fettwiese,NA,TRUE,FWi,17.9
Gr054,MP2,46.64012719296515,8.009124538334303,1325,35,S,613,208218,Fettwiese,NA,TRUE,FWi,14.8
81/074,MP2,46.65034959441021,8.06671104139817,1580,25,SW,612,237531,Fettwiese,NA,TRUE,FWi,14.5
Gr047b,MP2,46.62102958707416,8.014406789713343,970,40,N,613,220609,Fettwiese,NA,TRUE,FWi,11.6
81/050,MP2,46.639375735069144,8.082648289040712,1430,15,W,613,212844,Fettwiese,NA,TRUE,FWi,12.5
80/050,MP3,46.62307599517447,8.018867848488682,940,2,NE,613,324140,Fettwiese,NA,TRUE,FWi,11.9
Gr017,MP3,46.64061386018676,8.05392879605537,1385,20,SW,613,209426,Fettwiese,NA,TRUE,FWi,13.2
Gr048,MP3,46.61992896945608,8.018572981661489,990,30,N,613,223176,Fettwiese,NA,TRUE,FWi,12.4
79/402,MP2,46.62666212511615,8.021256674500702,990,40,S,613,212079,Fettwiese,NA,TRUE,FWi,30.7
Gr036,MP2,46.61900408791394,8.023524246639335,1002,0,-,613,322405,Fettwiese,NA,TRUE,FWi,30.9
81/042,MP2,46.617428983043354,8.032384865049957,950,0,-,613,221440,Fettwiese,NA,TRUE,FWi,29.1
Gr039,MP2,46.61582069371879,8.03027842112357,980,7,E,613,323970,Fettwiese,NA,TRUE,FWi,21.7
81/004,MP2,46.629626001963466,7.966835624210088,1235,60,N,612,316191,Frischer Magerrasen,NA,TRUE,MWi,1.4
81/006,MP2,46.63253126869265,7.970781669403701,1010,45,N,613,208255,Frischer Magerrasen,NA,TRUE,MWi,11.1
79/113,MP3,46.63901108554789,7.97972656062311,950,80,S,611,317601,Basiphiler Magerrasen,NA,TRUE,MWi,4.8
81/024,MP2,46.62376083745085,7.989627825446924,1320,90,E,612,236157,Basiphiler Magerrasen,NA,TRUE,MWi,5.5
81/015,MP2,46.640043115144884,8.007948179317037,1340,70,S,611,236275,Basiphiler Magerrasen,NA,TRUE,MWi,4.4
80/133,MP2,46.62742941280952,8.01186334887874,990,70,S,613,212017,Frischer Magerrasen,NA,TRUE,MWi,11.1
81/065,MP3,46.619768925264275,8.014654493055568,1000,15,NE,613,221792,Frischer Magerrasen,NA,TRUE,MWi,9
80/132,MP3,46.62669134515905,8.015511651278914,985,70,S,611,837394,Frischer Magerrasen,NA,TRUE,MWi,9.2
78/103,MP2,46.63773566177122,8.019547516558498,1350,70,W,613,216886,Basiphiler Magerrasen,NA,TRUE,MWi,12.2
79/116,MP3,46.60868351074542,8.01871353975073,1280,50,E,613,601832,Frischer Magerrasen,NA,TRUE,MWi,7.2
81/051,MP3,46.64438751010485,8.020533295747938,1500,90,S,611,847194,Basiphiler Magerrasen,NA,TRUE,MWi,4.2
81/063,MP3,46.62386422623385,8.023054511765464,940,85,S,613,865091,Basiphiler Magerrasen,NA,TRUE,MWi,6.4
80/057,MP2,46.607300804566826,8.025225171795995,1380,70,N,611,236657,Basiphiler Magerrasen,NA,TRUE,MWi,3.7
80/058,MP3,46.61448896986749,8.026869651338435,1035,10,NE,613,818084,Frischer Magerrasen,NA,TRUE,MWi,3.7
79/207,MP2,46.6116882749858,8.029188922275319,1160,70,N,611,236333,Frischer Magerrasen,NA,TRUE,MWi,2.4
79/211,MP2,46.61519508688512,8.029488291426768,980,80,N,611,238167,Frischer Magerrasen,NA,TRUE,MWi,1.8
81/079,MP2,46.63729476546193,8.052193211427692,1330,70,S,611,238107,Basiphiler Magerrasen,NA,TRUE,MWi,1.4
79/206,MP2,46.6412002516511,8.061902766081197,1400,25,SE,611,239485,Azidophiler Magerrasen,NA,TRUE,MWi,3.2
81/073,MP3,46.650263237838445,8.066056870848014,1580,20,SW,613,322755,Frischer Magerrasen,NA,TRUE,MWi,6.8
