ID,elevation,canton,municipality,mgroup,LU1980,LU2000,LU2020,LNF_Code,plotID,priority,Latitude,Longitude,slope,exposition,Nutzungsid,P.Test.CO2.
MP1-GR-PE-3,1594,Graubünden,Peist,IE,NA,WE,TRUE,617,PEWE01,MP1,46.84024071254602,9.668916985330275,12,209,ANU1235282,NA
MP1-GR-PE-4,1614,Graubünden,Peist,CI,NA,WE,FALSE,616,PEWE09,MP1,46.84148543323048,9.667137155486882,27,229,921123706160000j00,NA
MP1-GR-LA-1,1687,Graubünden,La Punt-Chamues-ch,EI,NA,OE,FALSE,613,LPOE04,MP1,46.57053742755999,9.918656161647728,0,-1,7857926130000j00,NA
MP1-GR-LA-2,1690,Graubünden,La Punt-Chamues-ch,CI,NA,WI,FALSE,613,LPWI01,MP1,46.57848948646995,9.931611125617534,2,326,7858896130000j00,NA
MP1-GR-LA-3,1690,Graubünden,La Punt-Chamues-ch,IE,NA,WI,TRUE,694,LPWI02,MP1,46.57921478584317,9.933411759146434,0,344,ANU1605607,NA
MP1-GR-LA-4,1690,Graubünden,La Punt-Chamues-ch,IE,NA,WI,TRUE,694,LPWI06,MP1,46.576660982967624,9.92248627169423,2,137,ANU31555,NA
MP1-GR-LA-5,1699,Graubünden,La Punt-Chamues-ch,EI,NA,OE,FALSE,613,LPOE02,MP1,46.57318266329503,9.930402671190384,30,331,7857386130000j00,NA
MP1-GR-TS-1,1709,Graubünden,Tschappina,EI,NA,OE,FALSE,613,FLOE02,MP1,46.70074402038434,9.376572666498069,2,103,6623146130000j00,NA
MP1-GR-LA-6,1710,Graubünden,La Punt-Chamues-ch,CE,NA,OE,TRUE,612,LPOE01,MP1,46.57494575770788,9.91661048585446,10,132,ANU1605718,NA
MP1-GR-LA-7,1712,Graubünden,La Punt-Chamues-ch,CI,NA,WE,FALSE,613,LPWE04,MP1,46.56165991942805,9.91302988950175,12,326,3989028792,NA
MP1-GR-LA-8,1744,Graubünden,La Punt-Chamues-ch,IE,NA,WE,TRUE,617,LPWE06,MP1,46.56073242787015,9.9142922445662,3,296,7858136170000j00,NA
MP1-GR-FL-4,1756,Graubünden,Flerden,IE,NA,WE,TRUE,694,FLWE04,MP1,46.70902279493619,9.376019765727484,2,87,ANU1260197,NA
MP1-GR-LA-9,1757,Graubünden,La Punt-Chamues-ch,IE,NA,WE,TRUE,617,LPWE02,MP1,46.573802948687785,9.93862480082701,16,309,ANU1605542,NA
MP1-GR-TS-2,1767,Graubünden,Tschappina,CE,NA,OE,TRUE,612,FLOE10,MP1,46.70081061265219,9.372651306534344,10,112,ANU1234289,NA
MP1-GR-PE-5,1816,Graubünden,Peist,CE,NA,OE,TRUE,611,PEOE08,MP1,46.84527038735388,9.689979481059485,20,183,ANU1244016,NA
MP2-BE-GR-1,950,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,79/416,MP2,46.63272734096865,7.9769213243886,40,NE,218183,4.9
MP2-BE-GR-2,950,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,81/042,MP2,46.617428983043354,8.032384865049957,0,-,221440,29.1
MP2-BE-GR-3,970,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,Gr047b,MP2,46.62102958707416,8.014406789713343,40,N,220609,11.6
MP2-BE-GR-4,980,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,Gr039,MP2,46.61582069371879,8.03027842112357,7,E,323970,21.7
MP2-BE-GR-5,980,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,611,79/211,MP2,46.61519508688512,8.029488291426768,80,N,238167,1.8
