"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
69;"Braunia alopecura";"M";"Braunia";"alopecura";"NISM";"5";"I";"";"";"2";"I";"Gf";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"-";"mo";"m";"Fr";"eG";"II";1;"";"VU";""
70;"Breutelia chrysocoma";"M";"Breutelia";"chrysocoma";"NISM";"3";"I";"1";"I";"3";"II";"Be";"I";"4";"II";"3";"II";"1";"I";"3";"II";"W";"R.n";"-";"di";"p";"So";"gK";"II";3;"";"";""
71;"Brotherella lorentziana";"M";"Brotherella";"lorentziana";"NISM";"4";"II";"2";"I";"2";"I";"Be Pr";"II";"3";"I";"3";"I";"3";"II";"3";"II";"";"D.n";"-";"di";"p";"Wi";"gH";"I";1;"";"VU";""
72;"Bryoerythrophyllum ferruginascens";"M";"Bryoerythrophyllum";"ferruginascens";"NISM";"2";"I";"";"";"3";"II";"Gf Be";"I";"3";"II";"4";"I";"";"";"";"";"";"R.n";"Kr";"di";"-";"";"gH";"II";3;"";"";""
73;"Bryoerythrophyllum recurvirostrum aggr.";"M";"Bryoerythrophyllum";"recurvirostrum aggr.";"";"x";"-";"3";"II";"3";"II";"Gf Be";"I";"3";"I";"3";"I";"3";"II";"x";"-";"";"R.n";"-";"syn";"c";"So-He";"gH";"II";3;"";"(VU)";"tax"
74;"Bryoerythrophyllum rubrum";"M";"Bryoerythrophyllum";"rubrum";"NISM";"2";"II";"";"";"2";"I";"Be Gf";"II";"2";"II";"5";"I";"";"";"";"";"";"R.n";"-";"di";"p";"So";"eG";"II";1;"";"EN";""
75;"Bryum algovicum";"M";"Bryum";"algovicum";"NISM";"1";"II";"";"";"4";"I";"Gl Be";"II";"3";"I";"4";"II";"";"";"";"";"";"R.n";"-";"m/d";"c";"Fr-So";"eK";"II";3;"";"VU";""
76;"Bryum alpinum aggr.";"M";"Bryum";"alpinum aggr.";"";"x";"-";"2";"II";"4";"I";"Gf Be";"II";"4";"II";"2";"II";"";"";"";"";"";"R.n";"(Bs)";"di";"m";"So-He";"eG";"II";3;"";"(CR)";""
77;"Bryum archangelicum aggr.";"M";"Bryum";"archangelicum aggr.";"";"x";"-";"";"";"4";"II";"Be Gl";"II";"3";"I";"4";"II";"";"";"";"";"";"R.n";"-";"mo";"c";"So";"gG";"II";3;"";"(VU)";"tax"
78;"Bryum argenteum";"M";"Bryum";"argenteum";"NISM";"4";"II";"3";"II";"4";"II";"Be Gl";"I";"3";"II";"x";"-";"3";"II";"1";"I";"";"R.n";"Bs";"di";"c";"Fr-He";"eE";"II";3;"=";"(VU)";""
