"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
437;"Pohlia elongata";"M";"Pohlia";"elongata";"NISM";"x";"-";"";"";"3";"II";"Be Gf";"I";"3";"II";"2";"II";"";"";"";"";"";"R.n";"-";"mo";"c";"So-He";"gH";"II";1;"";"";"tax"
438;"Pohlia longicolla";"M";"Pohlia";"longicolla";"NISM";"2";"I";"";"";"2";"I";"Gf Be";"II";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"par";"c";"So-He";"gH";"II";1;"";"";""
439;"Pohlia ludwigii";"M";"Pohlia";"ludwigii";"NISM";"1";"I";"";"";"4";"I";"Be Bg";"II";"5";"II";"2";"II";"";"";"";"";"";"R.n";"-";"di";"p";"So";"eU";"II";1;"";"";""
440;"Pohlia lutescens";"M";"Pohlia";"lutescens";"NISM";"3";"II";"";"";"2";"II";"Be Bg";"I";"3";"I";"4";"II";"";"";"";"";"";"R.n";"-";"di";"m";"Fr";"gH";"II";3;"";"";""
441;"Pohlia melanodon";"M";"Pohlia";"melanodon";"NISM";"3";"I";"";"";"3";"II";"Be Gl";"I";"4";"II";"x";"-";"";"";"";"";"";"R.n";"-";"di";"p";"Fr-So";"gH";"II";5;"";"";""
442;"Pohlia nutans aggr.";"M";"Pohlia";"nutans aggr.";"";"1";"II";"3";"I";"4";"I";"Be Bh";"I";"2";"II";"2";"II";"1";"I";"3";"II";"";"R.n";"Bk";"par";"c";"Fr-He";"gH";"II";1;"";"";"tax"
443;"Pohlia obtusifolia";"M";"Pohlia";"obtusifolia";"NISM";"1";"I";"";"";"4";"I";"Be Bg";"II";"4";"II";"2";"II";"";"";"";"";"";"R.n";"-";"mo";"m";"So-He";"eS";"II";1;"";"";""
444;"Pohlia wahlenbergii";"M";"Pohlia";"wahlenbergii";"NISM";"x";"-";"3";"I";"2";"II";"Be Bg";"II";"4";"II";"4";"II";"1";"I";"1";"II";"";"R.n";"-";"di";"p";"So";"eQ";"II";1;"";"";""
445;"Polytrichum alpinum";"M";"Polytrichum";"alpinum";"NISM";"1";"II";"3";"I";"4";"II";"Be Gf";"II";"3";"I";"3";"II";"1";"I";"3";"II";"";"B.n";"-";"di";"m";"So";"gH";"II";1;"";"";"tax"
446;"Polytrichum commune aggr.";"M";"Polytrichum";"commune aggr.";"";"3";"II";"";"";"3";"II";"Bt Be";"I";"4";"II";"2";"II";"";"";"";"";"";"R.n";"-";"di";"m";"Fr-So";"gH";"II";3;"";"";""
447;"Polytrichum formosum aggr.";"M";"Polytrichum";"formosum aggr.";"";"3";"II";"3";"I";"2";"II";"Be Bh";"I";"3";"I";"x";"-";"1";"I";"5";"II";"";"R.n";"-";"di";"c";"Fr-So";"gH";"I";3;"";"(VU)";""
448;"Polytrichum juniperinum aggr.";"M";"Polytrichum";"juniperinum aggr.";"";"1";"II";"3";"II";"4";"II";"Be Bh";"I";"2";"II";"3";"II";"1";"I";"3";"II";"";"R.n";"-";"di";"m";"Fr-So";"eK";"II";3;"";"";""
449;"Polytrichum longisetum";"M";"Polytrichum";"longisetum";"NISM";"3";"II";"";"";"3";"II";"Bh Be";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"c";"Fr-So";"eM";"II";3;"";"";""
450;"Polytrichum nanum aggr.";"M";"Polytrichum";"nanum aggr.";"";"3";"II";"2";"II";"2";"II";"Be";"I";"3";"II";"2";"II";"1";"I";"1";"I";"";"R.n";"-";"di";"c";"Wi-Fr";"gH";"II";1;">";"(CR)";""
451;"Polytrichum piliferum";"M";"Polytrichum";"piliferum";"NISM";"1";"II";"4";"II";"4";"I";"Be Bg";"I";"2";"I";"2";"II";"1";"I";"1";"II";"";"R.n";"-";"di";"m";"Fr-So";"eG";"II";3;"";"";""
452;"Polytrichum sexangulare";"M";"Polytrichum";"sexangulare";"NISM";"1";"II";"3";"I";"4";"I";"Be Bg";"I";"3";"I";"2";"I";"1";"I";"1";"I";"";"R.n";"-";"di";"m";"So-He";"eS";"II";1;"";"";""
453;"Polytrichum urnigerum";"M";"Polytrichum";"urnigerum";"NISM";"2";"II";"";"";"2";"I";"Be Bg";"I";"3";"I";"x";"-";"";"";"";"";"";"R.n";"-";"di";"c";"He-Wi";"gH";"II";1;"";"";"tax"
454;"Porella arboris-vitae";"H";"Porella";"arboris-vitae";"NISM";"3";"I";"";"";"2";"I";"Gf Pr";"I";"2";"II";"3";"II";"";"";"";"";"";"D.n";"-";"di";"-";"";"gH";"I";1;"";"VU";""
455;"Porella cordaeana";"H";"Porella";"cordaeana";"NISM";"2";"II";"";"";"2";"II";"Gf Pr";"I";"4";"II";"3";"II";"";"";"";"";"";"D.n";"-";"di";"m";"He";"gH";"II";1;"";"EN";""
456;"Porella platyphylla";"H";"Porella";"platyphylla";"NISM";"3";"II";"3";"II";"4";"II";"Pr Gf";"I";"3";"II";"3";"II";"3";"II";"";"";"";"D.n";"Bb";"di";"m";"So-He";"gH";"II";3;"";"";""
457;"Pottia bryoides";"M";"Pottia";"bryoides";"NISM";"4";"I";"";"";"4";"I";"Be";"I";"2";"II";"5";"I";"";"";"";"";"";"G.kr";"-";"aut";"c";"Fr";"eE";"II";5;"";"CR";""
458;"Pottia intermedia";"M";"Pottia";"intermedia";"NISM";"4";"I";"";"";"4";"I";"Be Gl";"I";"2";"I";"5";"I";"";"";"";"";"L";"G.k";"-";"aut";"c";"He-Fr";"eE";"II";5;"";"";""
459;"Pottia starckeana aggr.";"M";"Pottia";"starckeana aggr.";"";"4";"I";"";"";"4";"I";"Be Bg";"I";"2";"I";"5";"I";"";"";"";"";"";"G.kr";"-";"mo";"c";"Wi-Fr";"eE";"I";5;"";"EN";""
460;"Pottia truncata";"M";"Pottia";"truncata";"NISM";"4";"II";"3";"I";"4";"I";"Be";"I";"3";"II";"4";"II";"3";"I";"1";"I";"L";"R.kr";"-";"aut";"c";"He-Fr";"eE";"II";5;"";"";""
461;"Preissia quadrata";"H";"Preissia";"quadrata";"NISM";"2";"II";"3";"II";"3";"II";"Be Gl";"I";"3";"II";"5";"I";"3";"II";"3";"II";"";"T.n";"-";"m/d";"m";"Fr-So";"gH";"II";3;"";"";""
462;"Pseudocalliergon lycopodioides";"M";"Pseudocalliergon";"lycopodioides";"NISM";"4";"II";"";"";"4";"I";"Bt Be";"I";"5";"II";"4";"II";"";"";"";"";"";"D.n";"-";"di";"p";"Fr-So";"eM";"I";1;"";"VU";""
463;"Pseudocalliergon trifarium";"M";"Pseudocalliergon";"trifarium";"NISM";"x";"-";"";"";"4";"I";"Bt Be";"I";"5";"I";"3";"II";"";"";"";"";"";"D.n";"-";"di";"p";"So";"eM";"I";1;"";"";""
464;"Pseudocrossidium hornschuchianum";"M";"Pseudocrossidium";"hornschuchianum";"NISM";"4";"II";"x";"-";"4";"II";"Be Bg";"II";"2";"II";"4";"I";"3";"II";"1";"II";"L";"R.r";"-";"di";"m";"Fr";"eE";"II";5;"";"";""
465;"Pseudoleskea incurvata";"M";"Pseudoleskea";"incurvata";"NISM";"1";"II";"3";"I";"4";"II";"Gf Be";"I";"2";"II";"5";"I";"1";"I";"3";"II";"";"Ü.n";"-";"di";"m";"Fr-So";"eG";"II";1;"";"";""
466;"Pseudoleskea patens";"M";"Pseudoleskea";"patens";"NISM";"1";"II";"";"";"4";"II";"Gf Bg";"II";"2";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"di";"p";"";"eG";"II";1;"";"";""
467;"Pseudoleskeella catenulata";"M";"Pseudoleskeella";"catenulata";"NISM";"3";"II";"";"";"2";"II";"Gf";"I";"2";"I";"5";"I";"";"";"";"";"";"Ü.n";"-";"di";"p";"So";"gH";"II";1;"";"";""
468;"Pseudoleskeella nervosa";"M";"Pseudoleskeella";"nervosa";"NISM";"3";"II";"3";"I";"2";"II";"Pr Gf";"I";"3";"II";"3";"II";"1";"I";"";"";"";"Ü.e";"Bs";"di";"m";"Fr-So";"gH";"II";3;"";"";""
469;"Pterigynandrum filiforme";"M";"Pterigynandrum";"filiforme";"NISM";"3";"II";"3";"I";"2";"II";"Pr Gf";"I";"3";"II";"2";"II";"1";"I";"";"";"";"Ü.e";"Bk";"di";"m";"Fr-So";"gH";"I";1;"";"";""
470;"Pterogonium gracile";"M";"Pterogonium";"gracile";"NISM";"3";"I";"2";"II";"3";"II";"Gf";"I";"2";"I";"2";"II";"";"";"";"";"";"B.n";"-";"di";"-";"";"gH";"II";1;"";"VU";""
471;"Pterygoneurum ovatum";"M";"Pterygoneurum";"ovatum";"NISM";"4";"II";"";"";"3";"II";"Be Bg";"I";"1";"II";"5";"I";"";"";"";"";"";"G.k";"-";"aut";"c";"Fr";"eG";"II";3;"";"VU";""
472;"Ptilidium ciliare aggr.";"H";"Ptilidium";"ciliare aggr.";"";"3";"II";"2";"II";"2";"II";"Pr Ph";"I";"3";"II";"2";"II";"1";"II";"";"";"";"D.e";"-";"di";"c";"Fr-So";"gH";"II";1;"";"";""
473;"Ptilium crista-castrensis";"M";"Ptilium";"crista-castrensis";"NISM";"3";"II";"3";"I";"2";"II";"Be Bh";"I";"3";"I";"2";"II";"1";"I";"5";"I";"";"D.n";"-";"di";"m";"So-He";"gH";"I";1;"";"";""
474;"Ptychodium plicatum";"M";"Ptychodium";"plicatum";"NISM";"2";"II";"";"";"2";"II";"Gf Be";"I";"3";"I";"5";"I";"";"";"";"";"";"D.n";"-";"di";"m";"Fr";"eG";"II";1;"";"";""
475;"Ptychomitrium polyphyllum";"M";"Ptychomitrium";"polyphyllum";"NISM";"4";"I";"1";"II";"3";"II";"Gf";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"-";"aut";"m";"Fr";"gH";"II";1;"";"VU";""
476;"Pylaisia polyantha";"M";"Pylaisia";"polyantha";"NISM";"4";"II";"3";"I";"2";"II";"Pr Ph";"I";"2";"I";"x";"-";"1";"I";"";"";"";"Ü.e";"-";"aut";"c";"He-Wi";"gH";"II";1;"";"";""
477;"Racomitrium aciculare";"M";"Racomitrium";"aciculare";"NISM";"2";"II";"";"";"3";"II";"Gf";"I";"5";"II";"3";"II";"";"";"";"";"";"R.n";"-";"di";"m";"Fr";"eU";"II";1;"";"";""
478;"Racomitrium aquaticum";"M";"Racomitrium";"aquaticum";"NISM";"3";"II";"2";"I";"3";"II";"Gf";"I";"4";"II";"2";"I";"";"";"";"";"";"R.n";"-";"di";"m";"Fr";"gH";"II";1;"";"";""
479;"Racomitrium canescens aggr.";"M";"Racomitrium";"canescens aggr.";"";"1";"II";"3";"I";"4";"I";"Gl Be";"II";"2";"II";"2";"II";"1";"I";"3";"II";"";"R.n";"-";"di";"m";"Wi-Fr";"eL";"II";1;"";"";""
480;"Racomitrium heterostichum aggr.";"M";"Racomitrium";"heterostichum aggr.";"";"1";"II";"2";"II";"3";"II";"Gf Be";"I";"x";"-";"2";"II";"1";"I";"3";"II";"";"R.n";"-";"di";"c";"Fr-So";"eG";"II";1;"";"";""
481;"Racomitrium lanuginosum";"M";"Racomitrium";"lanuginosum";"NISM";"1";"II";"";"";"5";"II";"Gf Bg";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"p";"Fr-So";"eG";"II";1;"";"";""
482;"Radula complanata aggr.";"H";"Radula";"complanata aggr.";"";"3";"II";"3";"II";"2";"II";"Pr Gf";"II";"2";"II";"2";"II";"1";"II";"";"";"";"Ü.e";"Bk";"m/d";"c";"Wi-Fr";"gH";"II";1;"";"";""
483;"Reboulia hemisphaerica";"H";"Reboulia";"hemisphaerica";"NISM";"x";"-";"";"";"3";"II";"Be Gf";"I";"3";"II";"4";"II";"";"";"";"";"";"T.n";"-";"aut";"m";"Fr-So";"gE";"II";3;"";"VU";""
484;"Rhabdoweisia crenulata";"M";"Rhabdoweisia";"crenulata";"NISM";"3";"I";"1";"II";"2";"I";"Be Gf";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"aut";"c";"So";"gH";"I";1;"";"VU";""
485;"Rhabdoweisia crispata";"M";"Rhabdoweisia";"crispata";"NISM";"3";"II";"";"";"2";"I";"Gf Be";"II";"3";"I";"2";"II";"";"";"";"";"";"R.n";"-";"aut";"c";"So";"gH";"I";1;"";"EN";"tax"
486;"Rhabdoweisia fugax";"M";"Rhabdoweisia";"fugax";"NISM";"x";"-";"";"";"2";"I";"Gf Be";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"aut";"c";"So";"gH";"II";1;"";"";"tax"
487;"Rhizomnium pseudopunctatum";"M";"Rhizomnium";"pseudopunctatum";"NISM";"2";"II";"";"";"3";"II";"Be Bt";"I";"5";"II";"x";"-";"";"";"";"";"";"R.n";"-";"syn";"c";"Fr";"eQ";"II";1;"";"";"tax"
488;"Rhizomnium punctatum";"M";"Rhizomnium";"punctatum";"NISM";"3";"II";"3";"I";"2";"I";"Be Ph";"II";"4";"II";"x";"-";"1";"I";"3";"II";"";"R.n";"-";"di";"m";"Fr-So";"gH";"I";1;"";"";"tax"
489;"Rhodobryum roseum aggr.";"M";"Rhodobryum";"roseum aggr.";"";"3";"II";"3";"I";"3";"II";"Be Bh";"I";"3";"II";"4";"II";"1";"II";"3";"II";"";"R.n";"-";"di";"m";"He-Fr";"gH";"II";1;"";"";""
490;"Rhynchostegiella tenella";"M";"Rhynchostegiella";"tenella";"NISM";"4";"I";"3";"I";"3";"II";"Gf";"I";"2";"I";"5";"I";"1";"I";"";"";"";"Ü.n";"-";"aut";"m";"So-He";"eG";"II";3;"";"";""
491;"Rhynchostegiella teneriffae";"M";"Rhynchostegiella";"teneriffae";"NISM";"4";"I";"";"";"2";"II";"Gf Bg";"I";"4";"I";"5";"II";"";"";"";"";"";"Ü.n";"-";"aut";"c";"He-So";"gH";"I";1;"";"VU";""
492;"Rhynchostegium confertum";"M";"Rhynchostegium";"confertum";"NISM";"4";"I";"2";"II";"3";"II";"Gf Pr";"II";"3";"I";"x";"-";"3";"II";"";"";"";"Ü.n";"-";"aut";"c";"Wi";"gH";"II";3;"";"";""
493;"Rhynchostegium megapolitanum";"M";"Rhynchostegium";"megapolitanum";"NISM";"4";"I";"";"";"4";"I";"Be";"I";"2";"I";"x";"-";"";"";"";"";"";"Ü.w";"-";"aut";"p";"Wi";"eK";"II";3;"";"";""
494;"Rhynchostegium murale";"M";"Rhynchostegium";"murale";"NISM";"3";"II";"3";"I";"3";"II";"Gf Be";"I";"3";"I";"4";"II";"1";"II";"3";"II";"";"Ü.n";"-";"aut";"c";"Wi";"gH";"II";3;"";"";""
495;"Rhynchostegium riparioides";"M";"Rhynchostegium";"riparioides";"NISM";"4";"II";"3";"I";"x";"-";"Gf";"I";"5";"I";"4";"II";"1";"I";"";"";"";"D.w";"-";"aut";"m";"He";"gW";"II";3;"";"";""
496;"Rhynchostegium rotundifolium";"M";"Rhynchostegium";"rotundifolium";"NISM";"4";"I";"";"";"2";"II";"Gf";"II";"3";"I";"4";"II";"";"";"";"";"";"Ü.n";"-";"aut";"c";"Wi";"gH";"II";3;"";"";""
497;"Rhytidiadelphus loreus";"M";"Rhytidiadelphus";"loreus";"NISM";"3";"I";"2";"I";"2";"I";"Be Bh";"I";"3";"I";"2";"II";"1";"I";"3";"II";"";"D.n";"-";"di";"m";"Wi-Fr";"gH";"I";1;"";"";""
498;"Rhytidiadelphus squarrosus aggr.";"M";"Rhytidiadelphus";"squarrosus aggr.";"";"3";"II";"3";"I";"x";"-";"Be";"I";"3";"II";"x";"-";"3";"II";"3";"II";"";"D.n";"-";"di";"p";"Fr";"gK";"II";3;"";"";""
499;"Rhytidiadelphus triquetrus";"M";"Rhytidiadelphus";"triquetrus";"NISM";"3";"II";"3";"I";"x";"-";"Be Bh";"I";"3";"I";"x";"-";"1";"II";"3";"II";"";"D.n";"-";"di";"m";"Wi-Fr";"gH";"II";3;"";"";""
500;"Rhytidium rugosum";"M";"Rhytidium";"rugosum";"NISM";"3";"II";"3";"I";"4";"I";"Be Gf";"I";"2";"II";"x";"-";"1";"I";"3";"II";"";"D.n";"-";"di";"-";"";"gH";"II";3;"";"";""
501;"Riccardia latifrons";"H";"Riccardia";"latifrons";"NISM";"3";"I";"";"";"2";"II";"Ph Bh";"I";"5";"II";"1";"II";"";"";"";"";"";"T.n";"Bk";"aut";"c";"So";"gH";"II";1;"";"";"tax"
502;"Riccardia multifida";"H";"Riccardia";"multifida";"NISM";"3";"II";"3";"II";"2";"II";"Be Bh";"II";"4";"II";"2";"I";"1";"I";"3";"II";"";"T.n";"Bk";"mo";"m";"Wi-He";"gH";"II";3;"";"";"tax"
503;"Riccardia palmata";"H";"Riccardia";"palmata";"NISM";"3";"II";"3";"I";"1";"II";"Ph";"I";"4";"II";"2";"I";"1";"I";"";"";"";"T.n";"Bk";"di";"c";"So";"gH";"I";1;"";"";"tax"
504;"Riccia breidleri";"H";"Riccia";"breidleri";"NISM";"1";"I";"";"";"4";"I";"Be Bs";"I";"4";"II";"2";"I";"";"";"";"";"W";"T.k";"-";"mo";"p";"So";"eL";"I";1;"";"VU";"tax"
505;"Riccia crystallina aggr.";"H";"Riccia";"crystallina aggr.";"";"4";"I";"";"";"4";"I";"Bs Be";"I";"4";"I";"x";"-";"";"";"";"";"L";"T.k";"-";"mo";"c";"He";"eL";"II";3;"";"CR";""
506;"Riccia fluitans aggr.";"H";"Riccia";"fluitans aggr.";"";"4";"I";"";"";"3";"II";"Ws Be";"I";"5";"II";"x";"-";"";"";"";"";"";"T.w";"Kt";"di";"-";"";"gW";"I";3;"";"VU";""
507;"Riccia glauca";"H";"Riccia";"glauca";"NISM";"4";"I";"";"";"3";"I";"Be";"I";"3";"II";"3";"II";"";"";"";"";"L";"T.k";"-";"mo";"c";"He-Fr";"eE";"II";5;"";"";"tax"
508;"Riccia huebeneriana";"H";"Riccia";"huebeneriana";"NISM";"5";"";"";"";"4";"II";"Be";"";"4";"II";"2";"I";"";"";"";"";"L";"T.kr";"-";"mo";"m";"So-He";"eE";"";3;"";"EN";""
509;"Riccia sorocarpa";"H";"Riccia";"sorocarpa";"NISM";"4";"II";"3";"II";"3";"II";"Be";"I";"3";"II";"3";"II";"3";"II";"1";"II";"";"T.k";"-";"mo";"c";"He-So";"eE";"II";3;"";"";""
510;"Riccia subbifurca";"H";"Riccia";"subbifurca";"NISM";"3";"I";"";"";"3";"I";"Be";"I";"3";"II";"3";"II";"";"";"";"";"L";"T.kr";"-";"mo";"c";"Fr-Wi";"eE";"I";5;"";"VU";"tax"
511;"Ricciocarpos natans";"H";"Ricciocarpos";"natans";"NISM";"4";"I";"";"";"2";"I";"Ws";"I";"5";"II";"5";"I";"3";"II";"";"";"";"T.w";"-";"m/d";"p";"So";"gW";"II";1;"";"VU";""
512;"Saelania glaucescens";"M";"Saelania";"glaucescens";"NISM";"2";"II";"3";"I";"3";"II";"Be Gf";"I";"2";"II";"4";"II";"3";"II";"1";"I";"";"R.n";"-";"aut";"m";"Fr-So";"gE";"II";3;"";"EN";""
513;"Sanionia uncinata";"M";"Sanionia";"uncinata";"NISM";"2";"II";"3";"I";"3";"II";"Be Gf";"II";"3";"II";"2";"II";"1";"II";"3";"II";"";"D.n";"-";"aut";"c";"Fr-So";"gH";"II";3;"";"";""
514;"Sauteria alpina";"H";"Sauteria";"alpina";"NISM";"2";"I";"2";"I";"2";"II";"Be Bh";"II";"3";"II";"3";"II";"3";"I";"3";"II";"";"T.n";"-";"mo";"m";"So";"gG";"II";1;"";"VU";""
515;"Scapania aequiloba";"H";"Scapania";"aequiloba";"NISM";"2";"II";"3";"I";"2";"II";"Gf Be";"I";"2";"II";"4";"II";"3";"II";"3";"II";"";"Ü.n";"Bk";"di";"m";"?";"gH";"II";1;"";"";"tax"
516;"Scapania aspera";"H";"Scapania";"aspera";"NISM";"3";"II";"";"";"2";"II";"Gf Be";"I";"4";"II";"4";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"c";"Fr-So";"gH";"II";1;"";"";"tax"
517;"Scapania curta";"H";"Scapania";"curta";"NISM";"3";"II";"";"";"4";"II";"Bg Be";"II";"3";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"m";"So";"eG";"II";3;"";"EN";"tax"
518;"Scapania irrigua";"H";"Scapania";"irrigua";"NISM";"2";"II";"";"";"4";"I";"Be Bh";"II";"4";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"m";"Wi-Fr";"gK";"II";3;"";"";""
519;"Scapania nemorea aggr.";"H";"Scapania";"nemorea aggr.";"";"3";"II";"2";"II";"2";"II";"Be Gf";"II";"3";"II";"2";"I";"1";"I";"5";"II";"";"Ü.n";"Bk";"di";"c";"Fr-He";"gH";"II";1;"=";"(VU)";""
520;"Scapania paludicola";"H";"Scapania";"paludicola";"NISM";"2";"I";"3";"II";"4";"II";"Bt Be";"I";"5";"I";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"-";"";"eM";"I";1;"";"";""
521;"Scapania uliginosa aggr.";"H";"Scapania";"uliginosa aggr.";"";"2";"II";"2";"II";"4";"II";"Bt Be";"I";"5";"II";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So";"gW";"II";1;"";"";"tax"
522;"Scapania umbrosa";"H";"Scapania";"umbrosa";"NISM";"3";"II";"2";"I";"2";"II";"Ph Gf";"I";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"c";"Fr-He";"gH";"II";1;"";"";""
523;"Scapania undulata aggr.";"H";"Scapania";"undulata aggr.";"";"2";"II";"3";"II";"2";"II";"Gf Be";"II";"4";"II";"2";"II";"3";"II";"3";"II";"";"Ü.n";"Bk";"di";"c";"Wi-He";"eU";"II";1;"";"";""
524;"Schistidium apocarpum aggr.";"M";"Schistidium";"apocarpum aggr.";"";"x";"-";"3";"II";"4";"II";"Gf";"I";"2";"II";"4";"II";"x";"-";"";"";"";"R.n";"-";"aut";"c";"Fr";"gH";"II";3;"";"";""
525;"Schistidium rivulare aggr.";"M";"Schistidium";"rivulare aggr.";"";"1";"II";"";"";"4";"I";"Gf";"I";"4";"II";"3";"II";"";"";"";"";"";"R.n";"-";"aut";"m";"";"eU";"II";1;"";"";""
526;"Schistidium teretinerve";"M";"Schistidium";"teretinerve";"NISM";"3";"I";"";"";"5";"I";"Gf";"I";"1";"I";"5";"I";"";"";"";"";"";"P.n";"-";"di";"p";"";"eG";"I";1;"";"VU";""
527;"Schistostega pennata";"M";"Schistostega";"pennata";"NISM";"2";"II";"2";"I";"1";"II";"Bg Be";"II";"3";"I";"1";"I";"3";"II";"1";"I";"";"R.n";"Bk";"di*";"m";"Fr-So";"gH";"II";3;"";"VU";""
528;"Scleropodium purum";"M";"Scleropodium";"purum";"NISM";"3";"II";"3";"I";"3";"II";"Be";"I";"3";"II";"x";"-";"3";"I";"3";"II";"L";"D.n";"-";"di";"m";"Wi";"gK";"II";3;"";"";""
529;"Scopelophila ligulata";"M";"Scopelophila";"ligulata";"NISM";"3";"I";"";"";"3";"II";"Gf Bg";"I";"3";"I";"2";"I";"";"";"";"";"M";"R.n";"Bk";"di";"-";"";"gH";"I";3;"";"VU";""
530;"Scorpidium revolvens aggr.";"M";"Scorpidium";"revolvens aggr.";"";"3";"II";"";"";"4";"I";"Be Bt";"I";"5";"I";"x";"-";"";"";"";"";"";"D.w";"-";"m/d";"p";"So";"eM";"I";3;"";"";""
531;"Scorpidium scorpioides";"M";"Scorpidium";"scorpioides";"NISM";"4";"II";"3";"I";"4";"I";"Be Bt";"I";"5";"I";"2";"I";"1";"I";"5";"II";"";"Ü.w";"-";"di";"m";"So";"eM";"I";3;"";"VU";""
532;"Scorpiurium circinatum";"M";"Scorpiurium";"circinatum";"NISM";"5";"";"1";"";"3";"";"Gf";"";"3";"";"5";"";"";"";"";"";"";"Ü.n";"-";"di";"-";"";"gG";"";3;"";"VU";""
533;"Seligeria calcarea";"M";"Seligeria";"calcarea";"NISM";"3";"I";"2";"II";"2";"I";"Gf Bh";"I";"3";"I";"5";"I";"";"";"";"";"";"R.n";"-";"aut";"c";"Fr-So";"gH";"I";1;"";"VU";""
534;"Seligeria carniolica";"M";"Seligeria";"carniolica";"NISM";"4";"";"";"";"3";"";"Gf";"";"4";"";"4";"";"";"";"";"";"";"R.n";"-";"mo";"m";"Fr";"eU";"";1;"";"RE";""
535;"Seligeria donniana";"M";"Seligeria";"donniana";"NISM";"3";"I";"x";"-";"2";"I";"Gf";"I";"3";"I";"5";"II";"1";"I";"";"";"";"R.n";"-";"aut";"c";"So";"gH";"II";1;"";"";""
536;"Seligeria pusilla aggr.";"M";"Seligeria";"pusilla aggr.";"";"3";"II";"";"";"2";"I";"Gf";"I";"3";"I";"5";"I";"";"";"";"";"";"R.n";"-";"aut";"c";"So";"gH";"II";1;"";"(CR)";""
537;"Seligeria recurvata";"M";"Seligeria";"recurvata";"NISM";"3";"II";"2";"I";"2";"II";"Gf";"I";"3";"II";"4";"II";"1";"I";"";"";"";"R.n";"-";"aut";"c";"So";"gH";"II";3;"";"";""
538;"Seligeria trifaria aggr.";"M";"Seligeria";"trifaria aggr.";"";"3";"II";"";"";"2";"I";"Gf";"II";"4";"I";"5";"I";"";"";"";"";"";"R.n";"-";"aut";"m";"So";"gH";"II";3;"";"(VU)";""
539;"Sematophyllum demissum";"M";"Sematophyllum";"demissum";"NISM";"5";"I";"1";"II";"2";"I";"Gf";"I";"3";"I";"2";"II";"";"";"";"";"";"Ü.n";"-";"mo";"m";"Wi";"gH";"I";3;"";"VU";""
540;"Sphagnum auriculatum aggr.";"M";"Sphagnum";"auriculatum aggr.";"";"3";"II";"2";"I";"4";"I";"Bt Gf";"II";"5";"I";"3";"II";"3";"II";"";"";"";"R.n";"-";"di";"-";"";"eM";"II";1;"";"";"tax"
541;"Sphagnum capillifolium aggr.";"M";"Sphagnum";"capillifolium aggr.";"";"3";"II";"3";"II";"3";"II";"Bt";"I";"4";"II";"2";"II";"1";"II";"";"";"";"P.n";"-";"m/d";"m";"So-He";"eM";"II";3;"";"";"tax"
542;"Sphagnum compactum";"M";"Sphagnum";"compactum";"NISM";"2";"II";"3";"II";"4";"I";"Bt";"I";"4";"II";"2";"II";"1";"I";"5";"I";"";"P.n";"-";"aut";"m";"So";"eM";"II";1;"";"";""
543;"Sphagnum contortum";"M";"Sphagnum";"contortum";"NISM";"4";"II";"3";"II";"4";"I";"Bt";"I";"4";"II";"3";"II";"3";"II";"";"";"";"R.n";"-";"di";"-";"";"eM";"I";3;"";"";""
544;"Sphagnum cuspidatum";"M";"Sphagnum";"cuspidatum";"NISM";"3";"I";"2";"II";"4";"II";"Bt";"I";"5";"II";"1";"II";"1";"I";"5";"I";"";"R.w";"-";"di";"m";"?";"gW";"II";1;"";"";""
545;"Sphagnum fimbriatum";"M";"Sphagnum";"fimbriatum";"NISM";"4";"I";"3";"I";"2";"II";"Bt";"I";"4";"I";"2";"I";"1";"II";"5";"I";"";"R.n";"-";"aut";"c";"?";"gH";"II";3;"<";"VU";""
546;"Sphagnum fuscum";"M";"Sphagnum";"fuscum";"NISM";"3";"II";"4";"I";"4";"I";"Bt";"I";"4";"I";"1";"I";"1";"I";"";"";"";"P.n";"-";"di";"m";"?";"eM";"II";1;"";"VU";""
547;"Sphagnum girgensohnii";"M";"Sphagnum";"girgensohnii";"NISM";"3";"II";"3";"II";"2";"II";"Bt";"I";"4";"I";"3";"II";"3";"II";"";"";"";"R.n";"-";"di";"-";"";"gH";"II";3;"";"";"tax"
